,Wealth_Index_PI_OLS,Wealth_Index_PI_KNN,Wealth_Index_PI_LSTM,Wealth_Index_PI_Portfolio
2011-01-31,99.69724360507733,99.0836922817485,99.0836922817485,94.7167230210591
2011-02-28,99.27055492148088,97.72972785281976,104.53360254415152,100.62808193507745
2011-03-31,100.89212706747387,89.52636500502275,111.8149195335816,105.90614119007797
2011-04-30,98.48695789320827,91.16952437787924,110.37011305095373,101.72572064794805
2011-05-31,97.37071393488883,86.5164853357818,106.65657403607372,96.74059758049876
2011-06-30,96.77799959644099,85.26109078569276,109.3475305608941,96.84176850459828
2011-07-31,95.22760793878638,84.47035181617834,108.3334061480127,89.83117452900038
2011-08-31,96.94724134500412,75.43582090826291,100.4663540450085,81.5448475485225
2011-09-30,96.19862532540894,73.83446282549941,102.99426262073229,79.87606426605768
2011-10-31,95.60387343388788,83.5058760281464,118.28606916579272,90.2705049608118
2011-11-30,95.42948098996062,78.4421763753938,123.24365922670782,90.37597898125162
2011-12-31,96.44464503313466,76.66408620072936,134.28582544832688,92.72347422003847
2012-01-31,94.26919354348898,89.29424222885616,156.40897348060636,102.55536589582238
2012-02-29,95.83015871651487,89.61172623780554,165.4774441480933,102.72450893926488
2012-03-31,94.3918490765742,86.51400319064291,158.8903051836368,98.12475113276176
2012-04-30,92.48649158290928,87.87037183470886,146.4703841818242,86.64824885493779
2012-05-31,92.21510753123951,77.50002092331377,144.57202822873293,81.9697417686555
2012-06-30,90.82847734276574,85.13636952413648,145.5062119771985,81.16992181841219
2012-07-31,89.83252063583697,76.96516651041404,165.95929820893014,88.3704245523281
2012-08-31,89.50069573385598,81.89867210472312,176.597372070962,90.47871873107489
2012-09-30,91.28959577481814,90.05085387613599,194.1758485038331,95.66539785646746
2012-10-31,90.9724822113045,96.62965745094627,190.2209143638785,91.76518022832009
2012-11-30,90.99588231277099,98.95715011247702,218.65606816654415,92.66896810441439
2012-12-31,87.18241791557433,109.69707534695596,237.8131923809724,96.21405760934432
2013-01-31,85.62438776479905,102.5736751401818,246.58190249255455,95.05889483508525
2013-02-28,83.76319923761218,97.84224674618167,261.0269094534034,87.62439261061499
2013-03-31,81.7356004253267,107.68088047282649,287.27475473819436,96.95350162183803
2013-04-30,81.06053920590382,122.47198433335704,326.7349701003203,101.29178893420672
2013-05-31,81.72098845385814,123.98104434626235,346.53593479319187,104.05806211225286
2013-06-30,79.56171409226465,100.05053956805206,307.8552733616362,86.84085594510421
2013-07-31,78.66214084565247,105.50002739207633,311.9785639433029,88.66502358469333
2013-08-31,78.77612817187998,117.06372727275175,321.746042752215,90.60558290804546
2013-09-30,80.28361138694217,117.19981939591005,351.623229281831,97.28196647921472
2013-10-31,81.05739720119028,130.41336900417704,386.9015908719182,109.56166295410554
2013-11-30,80.73790609369351,123.24616832348,366.5084827284398,103.84839989819083
2013-12-31,79.32396856082288,113.05116969612054,350.9823285563249,95.67709205544944
2014-01-31,78.01946745482915,105.24899205835706,336.481089285855,87.2659973247986
2014-02-28,77.00612094802281,105.08986407288371,353.05768571318197,86.94402126057327
2014-03-31,76.40678612753214,99.99783401539378,378.56522389521615,94.156214302252
2014-04-30,75.58524338646257,99.85158677467888,456.0664402639613,108.4854040264011
2014-05-31,75.69636445179468,99.85175300971285,432.6926103270984,105.6709625213796
2014-06-30,75.86344557810105,110.43996155824189,478.5750255822926,113.25576168929618
2014-07-31,76.63484894134469,122.35477499019325,522.8752991179309,124.71656517465848
2014-08-31,77.2709729473212,149.58056813627388,639.2229834328326,149.14010743864966
2014-09-30,77.40210501143238,115.8850038185305,536.6316315227338,120.70189117325161
2014-10-31,76.3898698453761,111.91648166732189,582.5275314322324,116.76706728407578
2014-11-30,74.48538067054888,104.92196100750049,636.7174930591692,113.53278212964672
2014-12-31,71.42669726945925,90.45899112404868,572.8829147924428,99.94793800094742
2015-01-31,70.16108271178162,76.13915943922203,541.8445418515782,87.97469119894615
2015-02-28,68.84074210248812,94.34299721195636,700.9985157664283,109.93412870008046
2015-03-31,69.08515343989102,95.92032357901886,712.7185530226745,108.74377577525578
2015-04-30,69.91314098029954,135.9061647079137,1009.8260873535338,143.77896355168
2015-05-31,72.60032006734409,130.71176918796968,971.2300743224463,133.90622461948257
2015-06-30,73.52059664149029,134.6353834487403,1000.3837778777922,135.87355859127302
2015-07-31,74.10964765489156,125.89457665643332,956.6283957313583,120.27157676746761
2015-08-31,73.61753121757356,126.24672276445592,837.2781589393165,108.94376393170818
2015-09-30,74.03547479307356,113.7504354808929,802.481541075785,94.55686541851755
2015-10-31,74.33335292417205,123.76328640138692,859.4611326869077,98.65146596370063
2015-11-30,76.47306834333753,125.05828093731886,944.242600266777,104.04827892464034
2015-12-31,76.04225044862464,113.96391290824486,891.7966371793476,100.36244567137582
2016-01-31,76.67337922131655,86.03756683340681,850.6982424003166,87.9307059135478
2016-02-29,76.5086055363551,102.324955520282,907.3949986414607,89.6926363915525
2016-03-31,79.9027937044129,166.86934271806652,1479.7603012781071,119.87169574908285
2016-04-30,85.73661904397831,201.464905683502,1786.5460765604591,136.68242376920222
2016-05-31,88.46690600837775,151.72323507059897,1572.3281945164265,112.62147617568965
2016-06-30,91.34229091288559,177.76545715155757,1842.2072279202177,122.43137079171326
2016-07-31,94.92146333985184,202.13037236733007,2321.3367823942604,142.81182929029836
2016-08-31,99.71595610662403,218.81820720882604,2491.0227994920247,151.75200144301235
2016-09-30,103.64422858578743,233.584236147102,2659.119025178133,153.47290543237662
2016-10-31,107.96560757552798,297.9210991232371,3391.528793842405,183.2416406084808
2016-11-30,112.15589251096993,389.44556245018003,3018.670743066652,168.55465080624487
2016-12-31,116.75030965246526,344.989603074134,2960.4068765463776,159.76448615202486
2017-01-31,118.8013199302695,442.9539303999232,3250.5993252122507,162.99687606405735
2017-02-28,118.94380250245466,426.0729426644185,3505.6000015283266,163.24237171022148
2017-03-31,120.08977286943943,387.91995127182696,3320.314566534425,154.78610035181336
2017-04-30,122.10820882339613,366.8477373006515,3328.6228172910232,148.75741098553632
2017-05-31,124.72557802745344,371.49624368426345,3141.9551481151607,139.14780139124204
2017-06-30,126.60794753318874,392.4574649617002,3278.212983979597,138.41516592748624
2017-07-31,129.47902000731517,421.6454614917314,3522.021492528256,142.66269901057797
2017-08-31,135.0081537390076,472.56604367529985,3847.718507276331,150.13791707032854
2017-09-30,138.6588415217501,552.1124047643323,4495.399418431805,171.51998924531935
2017-10-31,141.1426689677499,601.047330443624,4893.836465926854,176.79826231616997
2017-11-30,146.94918601081875,519.2448353958,4697.731353177097,160.46492465937047
2017-12-31,148.77423450059217,541.462908884105,4898.7435411050565,168.4392173114634
2018-01-31,150.97975412742835,575.5991539912104,6319.876290113269,222.52975650370774
2018-02-28,153.0198189052498,608.7270921101103,6683.60940057085,230.46529993373275
2018-03-31,155.40541215084906,586.158498365418,6900.444440994731,236.9151796333676
2018-04-30,154.642788046754,675.8677445394062,7403.239491140211,242.6974212636073
2018-05-31,157.4217760102155,714.3708427568492,6191.916137969278,211.25710479844662
2018-06-30,157.74851122061582,699.6974214542172,5813.56894305416,191.61716845664242
2018-07-31,159.7572054470289,783.7362425396302,6699.085459957968,216.83186129526314
2018-08-31,160.6188461669308,767.3700034411376,6559.192944558103,213.0192728104887
2018-09-30,164.28402276192875,855.6013366710639,7313.361514889872,231.9504317278871
2018-10-31,168.7420866400193,1087.828086873899,9298.349271301351,270.3775409152511
2018-11-30,172.2608726435511,992.6952361362759,10433.765271814906,277.47471720721967
2018-12-31,167.66153635019293,961.454640133978,10552.425034037728,270.9960277906174
2019-01-31,169.8148347053722,891.7036958196951,12510.333585726354,318.62415858355985
2019-02-28,170.3840382261018,943.2942664334262,13234.13371269841,312.8768910766424
2019-03-31,173.3413441187384,952.2988952280066,13360.465935570139,305.7755357709925
2019-04-30,175.89949752781945,949.9737385083357,13327.844688917756,302.2037857649763
2019-05-31,176.57890236414752,926.3398790140902,13918.282974371816,299.2975343328113
2019-06-30,176.5996867561463,985.3040337550036,14969.55714281838,317.8854000443628
2019-07-31,179.60567220158165,958.1824396590238,14373.123774535818,307.65999105301813
2019-08-31,179.1042241238646,944.1383710001782,14336.955742535936,305.57513907374715
2019-09-30,178.86889597577797,989.3026564339242,15489.537212523837,320.71327542032634
2019-10-31,180.79637594686764,1091.2870248878476,17086.309100266462,339.8421083166445
2019-11-30,181.31270749970128,1021.9687846111832,16343.718807251902,319.9239610224727
2019-12-31,179.84053521935888,1103.8414265135102,17680.62955176679,341.0833634138237
2020-01-31,179.07168758519006,1028.975333839301,16481.472119578557,311.01061039694395
2020-02-29,178.035946889974,836.4747009200007,16268.258116428424,284.8281574781117
2020-03-31,163.19139195614136,815.8973606774454,11744.09267922004,176.9796894668042
2020-04-30,162.15500734585936,1010.8793151558583,14550.678721205317,194.1847800245464
2020-05-31,170.22859307819968,1129.7425691818114,16261.606024947796,201.10787174675542
2020-06-30,171.8680558421154,1179.315813593883,17191.639253482637,210.9134563332595
2020-07-31,164.45157107708908,1214.9123635532549,18174.77615753213,219.74989624037354
2020-08-31,157.23508981736322,1197.9469616683862,17920.978113384936,204.52600105054745
2020-09-30,152.22216065440884,1075.0459134793036,17187.58665048861,188.774353822579
2020-10-31,144.99984576665167,1106.805223826613,17895.962495602078,185.99243246978247
2020-11-30,137.43151822163563,1428.6924355320193,23100.56520661737,234.11852312533767
2020-12-31,136.26459926330148,1711.147370764888,27667.586412163284,272.59052252893247
2021-01-31,135.4792743198362,1724.925306923627,25685.127177283735,246.28161595164534
2021-02-28,133.75350664901575,1885.374421704959,23419.692441365416,213.4249583183899
2021-03-31,128.9854798194252,2037.298434765897,25699.699924705663,232.4375089750958
2021-04-30,127.06389492746129,2220.822501794558,25336.37962909804,222.24262715786992
2021-05-31,124.01532937004573,2338.1592003336,28822.639513403297,247.6978383761522
2021-06-30,123.00925377495551,2633.181852827367,32459.402809889983,276.91025667063013
2021-07-31,118.0209930625074,2359.641252272933,32586.866175090596,262.2067921562277
2021-08-31,111.79428899484817,2140.9484920850705,34886.96684988754,275.22501177774006
2021-09-30,105.77701027876898,2154.683888398102,35110.786487592195,269.4799042728834
2021-10-31,100.85797952237643,2171.0761371557846,35377.89979793972,261.7831168236621
2021-11-30,96.8520377383472,2458.4900720475193,40061.338215927244,282.6356891689691
2021-12-31,94.72102879193382,2656.60893622266,43289.704649014166,290.54832844109376
2022-01-31,95.43516533163287,2755.7675787254493,52383.15839096186,342.6898662335279
2022-02-28,90.98159100408681,2949.2395175708953,56060.78029746342,355.98219463461965
2022-03-31,88.10343701097077,3347.957507404256,61764.37043542567,371.74794627021123
2022-04-30,84.19334486543923,3302.464959317979,60925.106918538695,358.31972563647116
2022-05-31,82.51437053363459,3418.245249298333,66819.57021753782,393.9354733883976
2022-06-30,78.11764159560029,3120.235107360479,60994.09306406489,350.01074908072195
2022-07-31,76.53889475009186,2842.6911519969526,74577.49095547313,394.2745874084059
2022-08-31,75.25684206324823,3353.347239767222,87974.46154803695,454.5803856553435
2022-09-30,71.54358352854842,2896.2346653693753,94821.35837995929,440.13872926108996
2022-10-31,67.1676777579114,2875.4193615610407,102081.23087629022,456.03872462623644
2022-11-30,64.51013493536176,3024.482551186255,107373.17335908231,436.5422546319537
2022-12-31,63.83144122300264,3143.079756661151,105167.99360939118,411.93012075201773
2023-01-31,62.094086702610205,3342.1772328727775,111907.50534460001,425.2297017294508
2023-02-28,63.051395705434444,3137.7060001021086,111679.51454414372,413.3894025751369
2023-03-31,61.40219179165689,2915.181640785796,109952.7918933892,393.9460052868587
2023-04-30,61.44488358077972,2569.2104132283175,123904.90369860693,424.59676252754156
2023-05-31,61.67766130427569,2889.0747667579417,139330.95121758187,455.04783186025514
2023-06-30,62.2187878942846,3582.3069646276763,172763.35063320337,530.1642568527838
2023-07-31,63.48268015599764,3773.979036965568,182007.0893096698,546.0740638149866
2023-08-31,61.180970535405656,4020.1513896717647,193879.20437594567,541.8754544278489
2023-09-30,60.41882031517049,4379.585919696007,211213.59652977742,567.6553605838011
2023-10-31,60.82251381925619,4510.450489353596,210961.6261068219,565.9793377047293
2023-11-30,59.20588185898593,4964.401891819066,255918.78006928935,642.2933021457317
2023-12-31,55.664140351934655,5181.100032580482,282656.14056505467,689.8168215761137
2024-01-31,55.15008244917847,5609.625206478358,306034.43301786715,705.4080654870554
2024-02-29,55.24903214346254,5497.416866670018,335847.59822028916,724.130828080891
2024-03-31,50.768604231300394,5236.394243346103,346010.17358898494,717.5423876241969
2024-04-30,50.03203847343387,6053.121192570447,399977.81245326874,750.6927078837454
2024-05-31,50.477433390968685,5925.888033841666,385846.9778989389,720.3882337225459
2024-06-30,51.618990539915366,5833.998525567878,406407.6874287001,746.6892742083257
